Model,Method,Epsilon,Metric,Value
DA_shadow,laplace_truedp,1.51,acc,0.5883354746183035
DA_shadow,laplace_truedp,1.51,rec,0.7416346947695596
DA_shadow,laplace_truedp,1.51,pre,0.6435585148973829
DA_shadow,laplace_truedp,1.51,f1,0.6891245487364621
DA_shadow,laplace_truedp,0.71,acc,0.5884251098031014
DA_shadow,laplace_truedp,0.71,rec,0.7358554708367734
DA_shadow,laplace_truedp,0.71,pre,0.6450953678474114
DA_shadow,laplace_truedp,0.71,f1,0.6874929104562264
DA_shadow,laplace_truedp,0.001,acc,0.570408437658729
DA_shadow,laplace_truedp,0.001,rec,0.6549949006847652
DA_shadow,laplace_truedp,0.001,pre,0.6496315206396609
DA_shadow,laplace_truedp,0.001,f1,0.652302186109499
Ens_val_shadow,no_dp,,acc,0.585850290476625
Ens_val_shadow,no_dp,,rec,0.7154857742887144
Ens_val_shadow,no_dp,,pre,0.6435349673937486
Ens_val_shadow,no_dp,,f1,0.677605720509542
Ens_val_shadow,laplace,0.91,acc,0.5833457826645553
Ens_val_shadow,laplace,0.91,rec,0.7382837161866835
Ens_val_shadow,laplace,0.91,pre,0.6398686758144625
Ens_val_shadow,laplace,0.91,f1,0.6855622449209677
Ens_val_shadow,laplace,0.41,acc,0.5949087215034808
Ens_val_shadow,laplace,0.41,rec,0.7283279102520519
Ens_val_shadow,laplace,0.41,pre,0.6531509951657157
Ens_val_shadow,laplace,0.41,f1,0.6886939750183688
Ens_val_shadow,laplace,5.91,acc,0.5834652962442858
Ens_val_shadow,laplace,5.91,rec,0.7456170171434122
Ens_val_shadow,laplace,5.91,pre,0.63821915530429
Ens_val_shadow,laplace,5.91,f1,0.6877505767464779
Ens_val_shadow,laplace,0.091,acc,0.5960441005109206
Ens_val_shadow,laplace,0.091,rec,0.7399349230246224
Ens_val_shadow,laplace,0.091,pre,0.6510832870390154
Ens_val_shadow,laplace,0.091,f1,0.6926713947990543
Ens_val_shadow,laplace,0.021,acc,0.5946099375541546
Ens_val_shadow,laplace,0.021,rec,0.7409062211645865
Ens_val_shadow,laplace,0.021,pre,0.6494955085359104
Ens_val_shadow,laplace,0.021,f1,0.6921960072595281
Ens_val_shadow,laplace,1e-05,acc,0.5927275986733993
Ens_val_shadow,laplace,1e-05,rec,0.7432373367005002
Ens_val_shadow,laplace,1e-05,pre,0.6471583220568335
Ens_val_shadow,laplace,1e-05,f1,0.6918782070119125
Ens_val_shadow,bounded_n,8.51,acc,0.5846305536466581
Ens_val_shadow,bounded_n,8.51,rec,0.7340585692778399
Ens_val_shadow,bounded_n,8.51,pre,0.6420712798946518
Ens_val_shadow,bounded_n,8.51,f1,0.6849904830961662
Ens_val_shadow,bounded_n,1.11,acc,0.5923093011443425
Ens_val_shadow,bounded_n,1.11,rec,0.7309989801369531
Ens_val_shadow,bounded_n,1.11,pre,0.6499697728646688
Ens_val_shadow,bounded_n,1.11,f1,0.6881071567350111
Ens_val_shadow,bounded_n,0.81,acc,0.589650123995339
Ens_val_shadow,bounded_n,0.81,rec,0.7299791170899907
Ens_val_shadow,bounded_n,0.81,pre,0.6477483301012713
Ens_val_shadow,bounded_n,0.81,f1,0.686409717782446
Ens_val_shadow,bounded_n,0.11,acc,0.5975380202575518
Ens_val_shadow,bounded_n,0.11,rec,0.7462483609343888
Ens_val_shadow,bounded_n,0.11,pre,0.6507983566981491
Ens_val_shadow,bounded_n,0.11,f1,0.6952626577982898
Ens_val_shadow,bounded_n,1.21,acc,0.5922196659595447
Ens_val_shadow,bounded_n,1.21,rec,0.7523189743091642
Ens_val_shadow,bounded_n,1.21,pre,0.6444111651898997
Ens_val_shadow,bounded_n,1.21,f1,0.6941967286578534
Ens_val_shadow,bounded_n,0.91,acc,0.5812542950192716
Ens_val_shadow,bounded_n,0.91,rec,0.7260939245301345
Ens_val_shadow,bounded_n,0.91,pre,0.6409585869844808
Ens_val_shadow,bounded_n,0.91,f1,0.6808752874740989
Ens_val_shadow,gaussian_a,0.71,acc,0.5889031641220234
Ens_val_shadow,gaussian_a,0.71,rec,0.7428973823515128
Ens_val_shadow,gaussian_a,0.71,pre,0.6437589428499284
Ens_val_shadow,gaussian_a,0.71,f1,0.6897842310553964
Ens_val_shadow,gaussian_a,1.01,acc,0.5907855030027787
Ens_val_shadow,gaussian_a,1.01,rec,0.7318731484629207
Ens_val_shadow,gaussian_a,1.01,pre,0.6483114648311464
Ens_val_shadow,gaussian_a,1.01,f1,0.687562733826079
Ens_val_shadow,gaussian_a,0.051,acc,0.5856464190743673
Ens_val_shadow,gaussian_a,0.051,rec,0.7397406633966296
Ens_val_shadow,gaussian_a,0.051,pre,0.6415904974516659
Ens_val_shadow,gaussian_a,0.051,f1,0.6871785617612559
Ens_val_shadow,gaussian_a,1e-05,acc,0.5959245869311901
Ens_val_shadow,gaussian_a,1e-05,rec,0.7355640813947841
Ens_val_shadow,gaussian_a,1e-05,pre,0.6521420882669537
Ens_val_shadow,gaussian_a,1e-05,f1,0.6913456271681577
Ens_val_shadow,gaussian_a,9.01,acc,0.5909050165825092
Ens_val_shadow,gaussian_a,9.01,rec,0.728619299694041
Ens_val_shadow,gaussian_a,9.01,pre,0.6492837668239062
Ens_val_shadow,gaussian_a,9.01,f1,0.6866675820403679
Ens_val_shadow,gaussian_a,9.51,acc,0.5846903104365233
Ens_val_shadow,gaussian_a,9.51,rec,0.7344470885338255
Ens_val_shadow,gaussian_a,9.51,pre,0.6420292931437063
Ens_val_shadow,gaussian_a,9.51,f1,0.685135686132379
Ens_val_shadow,laplace_truedp,0.011,acc,0.558397322895814
Ens_val_shadow,laplace_truedp,0.011,rec,0.6524209606138605
Ens_val_shadow,laplace_truedp,0.011,pre,0.6379826186066391
Ens_val_shadow,laplace_truedp,0.011,f1,0.645121014214368
Ens_val_shadow,laplace_truedp,1e-05,acc,0.5638949475634168
Ens_val_shadow,laplace_truedp,1e-05,rec,0.647758729542033
Ens_val_shadow,laplace_truedp,1e-05,pre,0.6449397998162565
Ens_val_shadow,laplace_truedp,1e-05,f1,0.6463461911223106
Ens_val_shadow,laplace_truedp,0.001,acc,0.5720517493800233
Ens_val_shadow,laplace_truedp,0.001,rec,0.657326016220679
Ens_val_shadow,laplace_truedp,0.001,pre,0.6506585905201423
Ens_val_shadow,laplace_truedp,0.001,f1,0.6539753098349963
Ens_val_shadow,laplace_truedp,0.0001,acc,0.5745914129492964
Ens_val_shadow,laplace_truedp,0.0001,rec,0.6583944441746394
Ens_val_shadow,laplace_truedp,0.0001,pre,0.6530032272048553
Ens_val_shadow,laplace_truedp,0.0001,f1,0.6556877539175857
Ens_val_shadow,laplace_truedp,0.021,acc,0.5685260987779737
Ens_val_shadow,laplace_truedp,0.021,rec,0.6663590889223447
Ens_val_shadow,laplace_truedp,0.021,pre,0.6444204396017283
Ens_val_shadow,laplace_truedp,0.021,f1,0.655206169567605
Ens_val_shadow,laplace_truedp,0.091,acc,0.5897696375750695
Ens_val_shadow,laplace_truedp,0.091,rec,0.7201690058763538
Ens_val_shadow,laplace_truedp,0.091,pre,0.6504803263587314
Ens_val_shadow,laplace_truedp,0.091,f1,0.6835530561445561
Ens_val_shadow,laplace_truedp,0.081,acc,0.5895604888105411
